,,,,,,,,,,,,,
First,Last,Team,Pos,Opponent,Spread,OverUnder,Rec,RecYards,RecTD,RushAtt,RushYards,RushTD,FantasyPts
Terrance,Williams,DAL,WR,NYG,-6,50,3,41,0,0,0,0,4.1
Marlon,Brown,BAL,WR,DEN,,51,3,40,0,0,0,0,4
Jarvis,Landry,MIA,WR,WAS,-3,43.5,3,40,0,0,0,0,4
Jaelen,Strong,HOU,WR,KC,-1.5,41,3,40,0,0,0,0,4
Victor,Cruz,NYG,WR,DAL,,50,3,40,0,0,0,0,4
Jeremy,Kerley,NYJ,WR,CLE,-3,40.5,3,39,0,0,0,0,3.9
Danny,Amendola,NE,WR,PIT,-3,48.5,3,39,0,0,0,0,3.9
Cordarrelle,Patterson,MIN,WR,SF,0,41.5,1,20,0,1,18,0,3.8
Cordarrelle,Patterson,MIN,WR,PIT,,,1,20,0,1,18,0,3.8
Jerricho,Cotchery,CAR,WR,JAX,-3,41,3,38,0,0,0,0,3.8
Jarius,Wright,MIN,WR,SF,0,41.5,2,38,0,0,0,0,3.8
Jarius,Wright,MIN,WR,PIT,,,2,38,0,0,0,0,3.8
Rod,Streater,OAK,WR,CIN,,44,2,34,0,0,0,0,3.4
Andre,Roberts,WAS,WR,MIA,,43.5,3,33,0,0,0,0,3.3
Devin,Hester,ATL,WR,PHI,,53.5,2,33,0,0,0,0,3.3
Hakeem,Nicks,TEN,WR,TB,,42,2,32,0,0,0,0,3.2
Brian,Quick,STL,WR,SEA,,43,2,32,0,0,0,0,3.2
Riley,Cooper,PHI,WR,ATL,-1,53.5,3,31,0,0,0,0,3.1
Dwayne,Harris,NYG,WR,DAL,,50,2,31,0,0,0,0,3.1
Cody,Latimer,DEN,WR,BAL,-4,51,2,30,0,0,0,0,3
Andrew,Hawkins,CLE,WR,NYJ,,40.5,2,25,0,0,0,0,2.5
Jeremy,Ross,DET,WR,SD,,45.5,2,24,0,0,0,0,2.4
Taylor,Gabriel,CLE,WR,NYJ,,40.5,2,24,0,0,0,0,2.4
Jaron,Brown,ARZ,WR,NO,-3,47,2,24,0,0,0,0,2.4
