,,,,,,,,,,,,,
First,Last,Team,Pos,Opponent,Spread,OverUnder,RushAtt,RushYards,RushTD,Rec,RecYards,RecTD,FantasyPts
Theo,Riddick,DET,RB,SD,,45.5,3,9,0,1,9,0,1.8
Fozzy,Whittaker,CAR,RB,JAX,-3,41,5,18,0,0,0,0,1.8
Matt,Asiata,MIN,RB,SF,0,41.5,5,17,0,0,0,0,1.7
Matt,Asiata,MIN,RB,PIT,,,5,17,0,0,0,0,1.7
Jordan,Todman,CAR,RB,JAX,-3,41,4,17,0,0,0,0,1.7
Damien,Williams,MIA,RB,WAS,-3,43.5,3,9,0,1,8,0,1.7
Bilal,Powell,NYJ,RB,CLE,-3,40.5,4,16,0,0,0,0,1.6
Bobby,Rainey,TB,RB,TEN,-3,42,3,14,0,0,0,0,1.4
Stepfan,Taylor,ARZ,RB,NO,-3,47,3,12,0,0,0,0,1.2
Christine,Michael,SEA,RB,STL,-3.5,43,3,11,0,0,0,0,1.1
Anthony,Dixon,BUF,RB,IND,,46.5,3,11,0,0,0,0,1.1
Isaiah,Pead,STL,RB,SEA,,43,2,6,0,0,0,0,0.6
Vick,Ballard,IND,RB,BUF,-2.5,46.5,0,0,0,0,0,0,0
Travaris,Cadet,NE,RB,PIT,-3,48.5,0,0,0,0,0,0,0
Le'Veon,Bell,PIT,RB,MIN,,,0,0,0,0,0,0,0
Le'Veon,Bell,PIT,RB,NE,,48.5,0,0,0,0,0,0,0
Dexter,McCluster,TEN,RB,TB,,42,0,0,0,0,0,0,0
LeGarrette,Blount,NE,RB,PIT,-3,48.5,0,0,0,0,0,0,0
Stevan,Ridley,NYJ,RB,CLE,-3,40.5,0,0,0,0,0,0,0
Donald,Brown,SD,RB,DET,-2.5,45.5,0,0,0,0,0,0,0
Arian,Foster,HOU,RB,KC,-1.5,41,0,0,0,0,0,0,0
Andre,Williams,NYG,RB,DAL,,50,0,0,0,0,0,0,0
Duke,Johnson,CLE,RB,NYJ,,40.5,0,0,0,0,0,0,0
Javorius,Allen,BAL,RB,DEN,,51,0,0,0,0,0,0,0
Todd,Gurley,STL,RB,SEA,,43,0,0,0,0,0,0,0
Matt,Jones,WAS,RB,MIA,,43.5,0,0,0,0,0,0,0
