Player 	 Kickoff 	 Opponent 	 Spread 	 Over/Under 	 Predicted Score 	 Weather 	 Projected Rank 	 Salary Rank 	 Difference 	 Projected Points 	 Salary 	 CPP 
Adam Fuehne (DET - TE)	Sun 4:25PM	@IND	DET (+3.5)	51.5	DET 24		111	108	-3	0	$2,500	$0
Marcedes Lewis (JAC - TE)	Sun 1:00PM	GB	JAC (+4.5)	48	JAC 22		110	29	-81	0	$2,700	$0
Craig Stevens (TEN - TE)	Sun 1:00PM	MIN	TEN (+2)	41	TEN 20		116	41	-75	0	$2,500	$0
Brandon Myers (TB - TE)	Sun 1:00PM	@ATL	TB (+3)	47.5	TB 22		150	46	-104	0	$2,500	$0
Bear Pascoe (NE - TE)	Sun 8:30PM	@ARI	NE (+6)	47.5	NE 21		151	47	-104	0	$2,500	$0
Rob Housler (CHI - TE)	Sun 1:00PM	@HOU	CHI (+6.5)	44	CHI 19		152	51	-101	0	$2,500	$0
Stephen Anderson (HOU - TE)	Sun 1:00PM	CHI	HOU (-6.5)	44	HOU 25		101	124	23	0	$2,500	$0
Tony Moeaki (CHI - TE)	Sun 1:00PM	@HOU	CHI (+6.5)	44	CHI 19		149	48	-101	0	$2,500	$0
M.J. McFarland (PHI - TE)	Sun 1:00PM	CLE	PHI (-4)	41	PHI 23		147	104	-43	0	$2,500	$0
Clay Harbor (NE - TE)	Sun 8:30PM	@ARI	NE (+6)	47.5	NE 21		148	49	-99	0	$2,500	$0
Matthew Mulligan (DET - TE)	Sun 4:25PM	@IND	DET (+3.5)	51.5	DET 24		153	52	-101	0	$2,500	$0
Jeff Cumberland (SD - TE)	Sun 1:00PM	@KC	SD (+7)	44.5	SD 19		154	54	-100	0	$2,500	$0
Benjamin Watson (BAL - TE)	Sun 1:00PM	BUF	BAL (-3)	44.5	BAL 24		159	14	-145	0	$3,500	$0
Tyler Eifert (CIN - TE)	Sun 1:00PM	@NYJ	CIN (-2.5)	41.5	CIN 22		160	5	-155	0	$4,700	$0
 (ARI - TE)	Sun 8:30PM	NE	ARI (-6)	47.5	ARI 27		158	111	-47	0	$2,500	$0
Geoff Swaim (DAL - TE)	Sun 4:25PM	NYG	Even	46	DAL 23		157	151	-6	0	$2,500	$0
Michael Hoomanawanui (NO - TE)	Sun 1:00PM	OAK	NO (-1)	51	NO 26		155	55	-100	0	$2,500	$0
Jermaine Gresham (ARI - TE)	Sun 8:30PM	NE	ARI (-6)	47.5	ARI 27		156	53	-103	0	$2,500	$0
Jim Dray (BUF - TE)	Sun 1:00PM	@BAL	BUF (+3)	44.5	BUF 21		146	50	-96	0	$2,500	$0
Cole Wick (DET - TE)	Sun 4:25PM	@IND	DET (+3.5)	51.5	DET 24		145	150	5	0	$2,500	$0
Konrad Reuland (IND - TE)	Sun 4:25PM	DET	IND (-3.5)	51.5	IND 28		136	58	-78	0	$2,500	$0
Ifeanyi Momah (ARI - TE)	Sun 8:30PM	NE	ARI (-6)	47.5	ARI 27		137	61	-76	0	$2,500	$0
Luke Stocker (TB - TE)	Sun 1:00PM	@ATL	TB (+3)	47.5	TB 22		135	57	-78	0	$2,500	$0
Sean McGrath (SD - TE)	Sun 1:00PM	@KC	SD (+7)	44.5	SD 19		134	59	-75	0	$2,500	$0
Rhett Ellison (MIN - TE)	Sun 1:00PM	@TEN	MIN (-2)	41	MIN 22		132	60	-72	0	$2,500	$0
Garrett Griffin (NO - TE)	Sun 1:00PM	OAK	NO (-1)	51	NO 26		133	149	16	0	$2,500	$0
Emil Igwenagu (IND - TE)	Sun 4:25PM	DET	IND (-3.5)	51.5	IND 28		138	62	-76	0	$2,500	$0
MarQueis Gray (MIA - TE)	Sun 4:05PM	@SEA	MIA (+10.5)	44	MIA 17		139	66	-73	0	$2,500	$0
Zach Sudfeld (NYJ - TE)	Sun 1:00PM	CIN	NYJ (+2.5)	41.5	NYJ 20		143	63	-80	0	$2,500	$0
Lee Smith (OAK - TE)	Sun 1:00PM	@NO	OAK (+1)	51	OAK 25		144	56	-88	0	$2,500	$0
James Hanna (DAL - TE)	Sun 4:25PM	NYG	Even	46	DAL 23		142	64	-78	0	$2,500	$0
Chris Pantale (PHI - TE)	Sun 1:00PM	CLE	PHI (-4)	41	PHI 23		141	65	-76	0	$2,500	$0
Greg Scruggs (CHI - TE)	Sun 1:00PM	@HOU	CHI (+6.5)	44	CHI 19		140	67	-73	0	$2,500	$0
Rico Gathers (DAL - TE)	Sun 4:25PM	NYG	Even	46	DAL 23		131	148	17	0	$2,500	$0
Tim Semisch (SD - TE)	Sun 1:00PM	@KC	SD (+7)	44.5	SD 19		80	126	46	0	$2,500	$0
Kivon Cartwright (TB - TE)	Sun 1:00PM	@ATL	TB (+3)	47.5	TB 22		59	86	27	0	$2,500	$0
Jerell Adams (NYG - TE)	Sun 4:25PM	@DAL	Even	46	NYG 23		60	146	86	0	$2,500	$0
Cooper Helfet (SEA - TE)	Sun 4:05PM	MIA	SEA (-10.5)	44	SEA 27		58	85	27	0	$2,500	$0
 (PHI - TE)	Sun 1:00PM	CLE	PHI (-4)	41	PHI 23		57	144	87	0	$2,500	$0
Gerald Christian (ARI - TE)	Sun 8:30PM	NE	ARI (-6)	47.5	ARI 27		55	88	33	0	$2,500	$0
Nick Vannett (SEA - TE)	Sun 4:05PM	MIA	SEA (-10.5)	44	SEA 27		56	118	62	0	$2,500	$0
Demetrius Harris (KC - TE)	Sun 1:00PM	SD	KC (-7)	44.5	KC 26		61	114	53	0	$2,500	$0
Ryan Malleck (NYG - TE)	Sun 4:25PM	@DAL	Even	46	NYG 23		62	112	50	0	$2,500	$0
Ryan Hewitt (CIN - TE)	Sun 1:00PM	@NYJ	CIN (-2.5)	41.5	CIN 22		67	72	5	0	$2,500	$0
Gabe Holmes (OAK - TE)	Sun 1:00PM	@NO	OAK (+1)	51	OAK 25		68	75	7	0	$2,500	$0
Justin Perillo (GB - TE)	Sun 1:00PM	@JAC	GB (-4.5)	48	GB 26		66	71	5	0	$2,500	$0
Levine Toilolo (ATL - TE)	Sun 1:00PM	TB	ATL (-3)	47.5	ATL 25		65	73	8	0	$2,500	$0
Ross Travis (KC - TE)	Sun 1:00PM	SD	KC (-7)	44.5	KC 26		63	113	50	0	$2,500	$0
Matt Lengel (CIN - TE)	Sun 1:00PM	@NYJ	CIN (-2.5)	41.5	CIN 22		64	74	10	0	$2,500	$0
Austin Traylor (DAL - TE)	Sun 4:25PM	NYG	Even	46	DAL 23		54	119	65	0	$2,500	$0
Matt LaCosse (NYG - TE)	Sun 4:25PM	@DAL	Even	46	NYG 23		53	117	64	0	$2,500	$0
 (TB - TE)	Sun 1:00PM	@ATL	TB (+3)	47.5	TB 22		44	23	-21	0	$2,500	$0
Gannon Sinclair (CHI - TE)	Sun 1:00PM	@HOU	CHI (+6.5)	44	CHI 19		45	156	111	0	$2,500	$0
Chris Manhertz (NO - TE)	Sun 1:00PM	OAK	NO (-1)	51	NO 26		43	103	60	0	$2,500	$0
John Peters (CIN - TE)	Sun 1:00PM	@NYJ	CIN (-2.5)	41.5	CIN 22		42	160	118	0	$2,500	$0
Ben McCord (DET - TE)	Sun 4:25PM	@IND	DET (+3.5)	51.5	DET 24		40	105	65	0	$2,500	$0
RaShaun Allen (NO - TE)	Sun 1:00PM	OAK	NO (-1)	51	NO 26		41	102	61	0	$2,500	$0
Mitchell Henry (GB - TE)	Sun 1:00PM	@JAC	GB (-4.5)	48	GB 26		46	115	69	0	$2,500	$0
Nick O'Leary (BUF - TE)	Sun 1:00PM	@BAL	BUF (+3)	44.5	BUF 21		47	116	69	0	$2,500	$0
J.P. Holtz (CLE - TE)	Sun 1:00PM	@PHI	CLE (+4)	41	CLE 19		51	145	94	0	$2,500	$0
Brandon Williams (SEA - TE)	Sun 4:05PM	MIA	SEA (-10.5)	44	SEA 27		52	84	32	0	$2,500	$0
Randall Telfer (CLE - TE)	Sun 1:00PM	@PHI	CLE (+4)	41	CLE 19		50	97	47	0	$2,500	$0
Jerome Cunningham (TEN - TE)	Sun 1:00PM	MIN	TEN (+2)	41	TEN 20		49	82	33	0	$2,500	$0
Nic Jacobs (JAC - TE)	Sun 1:00PM	GB	JAC (+4.5)	48	JAC 22		48	83	35	0	$2,500	$0
D.J. Tialavea (ATL - TE)	Sun 1:00PM	TB	ATL (-3)	47.5	ATL 25		69	76	7	0	$2,500	$0
Arthur Lynch (ATL - TE)	Sun 1:00PM	TB	ATL (-3)	47.5	ATL 25		70	80	10	0	$2,500	$0
Joshua Perkins (ATL - TE)	Sun 1:00PM	TB	ATL (-3)	47.5	ATL 25		91	125	34	0	$2,500	$0
Dominique Jones (MIA - TE)	Sun 4:05PM	@SEA	MIA (+10.5)	44	MIA 17		92	139	47	0	$2,500	$0
Kennard Backman (GB - TE)	Sun 1:00PM	@JAC	GB (-4.5)	48	GB 26		90	131	41	0	$2,500	$0
Gabe Hughes (MIA - TE)	Sun 4:05PM	@SEA	MIA (+10.5)	44	MIA 17		89	137	48	0	$2,500	$0
Troy Niklas (ARI - TE)	Sun 8:30PM	NE	ARI (-6)	47.5	ARI 27		87	133	46	0	$2,500	$0
Ben Koyack (JAC - TE)	Sun 1:00PM	GB	JAC (+4.5)	48	JAC 22		88	132	44	0	$2,500	$0
James O'Shaughnessy (KC - TE)	Sun 1:00PM	SD	KC (-7)	44.5	KC 26		93	91	-2	0	$2,500	$0
Clayton Echard (SEA - TE)	Sun 4:05PM	MIA	SEA (-10.5)	44	SEA 27		94	142	48	0	$2,500	$0
AJ Derby (NE - TE)	Sun 8:30PM	@ARI	NE (+6)	47.5	NE 21		98	89	-9	0	$2,500	$0
Colton Underwood (OAK - TE)	Sun 1:00PM	@NO	OAK (+1)	51	OAK 25		99	92	-7	0	$2,500	$0
Hakeem Valles (ARI - TE)	Sun 8:30PM	NE	ARI (-6)	47.5	ARI 27		97	143	46	0	$2,500	$0
Steven Scheu (NE - TE)	Sun 8:30PM	@ARI	NE (+6)	47.5	NE 21		96	122	26	0	$2,500	$0
Erik Swoope (IND - TE)	Sun 4:25PM	DET	IND (-3.5)	51.5	IND 28		95	90	-5	0	$2,500	$0
Phillip Supernaw (TEN - TE)	Sun 1:00PM	MIN	TEN (+2)	41	TEN 20		86	135	49	0	$2,500	$0
Seth DeValve (CLE - TE)	Sun 1:00PM	@PHI	CLE (+4)	41	CLE 19		85	136	51	0	$2,500	$0
Tevin Westbrook (TB - TE)	Sun 1:00PM	@ATL	TB (+3)	47.5	TB 22		75	120	45	0	$2,500	$0
Alex Ellis (TEN - TE)	Sun 1:00PM	MIN	TEN (+2)	41	TEN 20		76	121	45	0	$2,500	$0
Brian Leonhardt (MIN - TE)	Sun 1:00PM	@TEN	MIN (-2)	41	MIN 22		74	147	73	0	$2,500	$0
Blake Annen (BUF - TE)	Sun 1:00PM	@BAL	BUF (+3)	44.5	BUF 21		73	78	5	0	$2,500	$0
Brandon Bostick (NYJ - TE)	Sun 1:00PM	CIN	NYJ (+2.5)	41.5	NYJ 20		71	81	10	0	$2,500	$0
Orson Charles (DET - TE)	Sun 4:25PM	@IND	DET (+3.5)	51.5	DET 24		72	79	7	0	$2,500	$0
Eric Tomlinson (HOU - TE)	Sun 1:00PM	CHI	HOU (-6.5)	44	HOU 25		77	96	19	0	$2,500	$0
Nick Boyle (BAL - TE)	Sun 1:00PM	BUF	BAL (-3)	44.5	BAL 24		78	128	50	0	$2,500	$0
Kyle Carter (MIN - TE)	Sun 1:00PM	@TEN	MIN (-2)	41	MIN 22		83	129	46	0	$2,500	$0
Bryce Williams (NE - TE)	Sun 8:30PM	@ARI	NE (+6)	47.5	NE 21		84	130	46	0	$2,500	$0
Wes Saxton (NYJ - TE)	Sun 1:00PM	CIN	NYJ (+2.5)	41.5	NYJ 20		82	138	56	0	$2,500	$0
C.J. Fiedorowicz (HOU - TE)	Sun 1:00PM	CHI	HOU (-6.5)	44	HOU 25		81	95	14	0	$2,500	$0
Darion Griswold (IND - TE)	Sun 4:25PM	DET	IND (-3.5)	51.5	IND 28		79	127	48	0	$2,500	$0
MyCole Pruitt (MIN - TE)	Sun 1:00PM	@TEN	MIN (-2)	41	MIN 22		100	93	-7	0	$2,500	$0
